id,scientific_name,common_name,taxonomic_group,family,genus,conservation_status,iucn_taxon_id,is_invasive,is_indicator_species,description,image_url
1,Panthera tigris tigris,Bengal Tiger,Mammalia,Felidae,Panthera,EN,15955,False,True,Apex predator and umbrella indicator for intact Asian forest ecosystems.,https://images.unsplash.com/photo-1500000314159?auto=format&fit=crop&w=800&q=80
2,Elephas maximus,Asian Elephant,Mammalia,Elephantidae,Elephas,EN,7140,False,True,Mega-herbivore engineer sustaining forest corridors and seed dispersal.,https://images.unsplash.com/photo-1500000628318?auto=format&fit=crop&w=800&q=80
3,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,Rhinocerotidae,Rhinoceros,VU,19496,False,True,Alluvial grassland specialist and grazing architect.,https://images.unsplash.com/photo-1500000942477?auto=format&fit=crop&w=800&q=80
4,Panthera pardus,Leopard,Mammalia,Felidae,Panthera,VU,15954,False,False,Adaptable felid predator inhabiting dense canopy and rocky hills.,https://images.unsplash.com/photo-1500001256636?auto=format&fit=crop&w=800&q=80
5,Platanista gangetica,Ganges River Dolphin,Mammalia,Platanistidae,Platanista,EN,41758,False,True,Freshwater bio-indicator sensitive to aquatic noise and siltation.,https://images.unsplash.com/photo-1500001570795?auto=format&fit=crop&w=800&q=80
6,Ailurus fulgens,Red Panda,Mammalia,Ailuridae,Ailurus,EN,714,False,True,Specialized subalpine bamboo forest dweller.,https://images.unsplash.com/photo-1500001884954?auto=format&fit=crop&w=800&q=80
7,Neofelis nebulosa,Clouded Leopard,Mammalia,Felidae,Neofelis,VU,14519,False,True,Arboreal rainforest predator of primary evergreen forests.,https://images.unsplash.com/photo-1500002199113?auto=format&fit=crop&w=800&q=80
8,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,Canidae,Cuon,EN,5929,False,True,Social pack hunter vulnerable to habitat fragmentation and prey loss.,https://images.unsplash.com/photo-1500002513272?auto=format&fit=crop&w=800&q=80
9,Hoolock hoolock,Western Hoolock Gibbon,Mammalia,Hylobatidae,Hoolock,EN,39876,False,True,Only ape species of South Asia; strictly canopy frugivore.,https://images.unsplash.com/photo-1500002827431?auto=format&fit=crop&w=800&q=80
10,Melursus ursinus,Sloth Bear,Mammalia,Ursidae,Melursus,VU,13143,False,False,Myrmecophagous forest bear dependent on termite mounds and fruiting trees.,https://images.unsplash.com/photo-1500003141590?auto=format&fit=crop&w=800&q=80
